Game Name,Description,Region,Unique to Region,Why Unique,Hyper-Localized Success,Success Metrics,
TopTop: Games&Chat,Social gaming app with various mini-games and chat features,MENA,No,Localized mini-games and,High engagement through social events and multiplayer games,High number of active users and positive community feedback,
Total Battle: War Strategy,Strategy game with city building and real-time battles,MENA,No,Includes regional historical elements and settings,High engagement through strategic events and city-building challenges,High level of resource management and strong user retention,
Township,City-building game with farming and resource management,MENA,No,Localized crops and farming techniques,High engagement through farming events and seasonal challenges,High level of farm development and positive user feedback,
Traffic Escape!,Puzzle game where players solve traffic jams by moving vehicles strategically,MENA,No,Includes region-specific traffic scenarios,High engagement through traffic puzzle events and challenges,High completion rates and positive user feedback,
Travel Town - Merge Adventure,Puzzle game with merging mechanics and town building,MENA,No,Localized settings and cultural references,High engagement through merging events and town-building challenges,High level of completed merges and positive user feedback,
True Skate,Skateboarding simulation game with realistic physics,MENA,No,Localized settings and culturally inspired skate parks,High engagement through skateboarding events and challenges,High level of completed tricks and positive user feedback,
Ultimate Custom Night,Survival horror game with customizable challenges,MENA,No,Localized settings and cultural references,High engagement through customizable horror events,High level of completed challenges and positive user feedback,
Vector Classic,Parkour-inspired platformer with challenging levels,MENA,No,Includes region-specific parkour settings and themes,High engagement through parkour events and challenges,High completion rates and positive user feedback,
Vehicle Masters,Vehicle simulation game with various types of vehicles and tasks,MENA,No,Localized vehicle models and tasks,High engagement through vehicle events and challenges,High level of task completion and positive user feedback,
War and Order,Strategy game with city building and large-scale battles,MENA,No,Includes regional historical elements and settings,High engagement through strategic events and battles,High level of city development and strong user retention,
Warpath: Ace Shooter,Strategy game with real-time battles and base building,MENA,No,Localized settings and cultural references,High engagement through strategic events and battles,High level of base development and positive user feedback,
Whiteout Survival,Survival strategy with city-building  resource management  and hero recruitment,MENA,No,Includes regional settings and survival scenarios,High engagement through survival events and challenges,High level of city development and strong user retention,
Wood Nuts & Bolts Puzzle,Puzzle game involving assembling objects with nuts and bolts,MENA,No,Localized settings and culturally inspired objects,High engagement through assembling events and challenges,High completion rates and positive user feedback,
Wood Nuts & Bolts Screw,Puzzle game involving assembling objects with nuts and bolts,MENA,No,Localized settings and culturally inspired objects,High engagement through assembling events and challenges,High completion rates and positive user feedback,
X-HERO,RPG game with hero collection and battles,MENA,No,Includes regional heroes and storylines,High engagement through hero collection events and battles,High level of hero upgrades and positive user feedback,
Yalla Ludo - Ludo&Domino,Digital version of Ludo and Domino games with online multiplayer features,MENA,Yes,Includes traditional regional board game designs,High engagement through multiplayer games and local tournaments,High number of matches played and positive user reviews,
